region,latitude,longitude,temperature,wind_speed,humidity,rainfall_7day,vegetation_index,outbreak
KPK,31.5335,73.2536,41.41,19.3,42.52,24.77,0.244,0
Balochistan,30.4467,65.5958,43.52,9.89,37.42,5.04,0.215,0
Balochistan,27.4142,66.0701,44.97,16.07,29.77,17.07,0.416,0
Punjab,30.7761,71.5069,41.45,22.6,16.59,22.49,0.369,0
Punjab,29.3742,72.7142,34.49,16.65,35.03,17.34,0.217,0
Balochistan,29.2008,68.1511,42.35,10.31,19.53,6.21,0.621,1
KPK,34.5703,71.4699,41.6,8.6,27.85,9.47,0.42,0
Sindh,26.9865,66.7496,30.04,30.28,34.64,16.03,0.586,0
Sindh,25.9951,70.134,46.1,16.99,16.41,10.59,0.302,0
KPK,33.9311,71.5294,38.45,5.63,40.27,23.3,0.496,0
Punjab,28.1381,73.2568,41.97,18.11,10.55,1.93,0.173,1
Sindh,25.2542,66.5662,46.67,34.36,12.61,23.02,0.709,0
Punjab,31.6474,71.8965,41.37,12.2,37.15,15.09,0.18,0
KPK,35.5993,70.7317,32.63,30.81,24.73,5.62,0.417,0
Punjab,31.4658,70.8276,25.75,15.9,36.88,6.94,0.254,0
Balochistan,27.0682,68.6886,28.27,19.51,11.16,24.92,0.452,0
Balochistan,28.3839,64.4143,42.6,17.23,25.32,15.62,0.364,0
Sindh,23.3285,69.8776,34.97,23.35,24.31,10.02,0.492,0
Balochistan,28.0062,61.604,41.57,14.53,41.2,13.16,0.661,0
Punjab,32.2958,73.2946,25.6,12.77,16.55,16.8,0.114,0
Sindh,25.8472,70.4373,37.25,30.23,37.8,24.72,0.522,0
Punjab,30.3831,73.3404,29.51,15.26,41.16,0.33,0.16,0
Sindh,23.6139,70.3822,39.14,29.64,41.69,15.62,0.335,0
Sindh,25.9515,67.3403,38.73,19.33,28.43,10.9,0.306,0
KPK,34.8988,69.5712,37.45,39.49,25.43,4.55,0.439,0
Balochistan,29.2498,66.0678,30.67,9.88,38.89,24.61,0.468,0
Sindh,26.4159,70.1129,36.65,33.53,26.43,1.68,0.384,0
Punjab,29.2385,70.055,28.01,36.5,40.33,14.94,0.52,0
Sindh,25.8665,70.1905,33.9,31.98,23.62,8.85,0.771,0
Balochistan,29.6189,62.9628,33.56,15.1,21.16,17.98,0.308,0
KPK,32.9832,73.7704,27.97,21.93,17.99,13.5,0.213,0
Balochistan,28.9782,65.7747,32.35,31.98,11.94,1.88,0.61,0
Sindh,25.9914,68.2984,26.67,7.72,8.09,24.19,0.104,0
Balochistan,26.5495,68.3385,28.01,38.26,24.5,4.63,0.479,0
Punjab,31.8337,73.7952,40.93,27.3,44.28,22.58,0.553,0
Balochistan,31.6644,61.3154,40.52,37.38,14.68,14.2,0.741,1
Balochistan,30.3861,62.5408,27.54,19.76,37.43,18.63,0.138,0
Sindh,27.1446,66.185,38.12,13.05,12.46,1.92,0.587,0
Sindh,25.0224,68.8621,42.69,23.84,32.48,18.45,0.464,0
Punjab,29.3978,70.122,44.14,5.74,40.36,13.22,0.757,0
Sindh,23.0474,66.2634,26.95,6.32,25.75,14.52,0.29,0
KPK,33.0888,71.1068,41.23,13.36,12.09,8.87,0.301,0
KPK,33.9455,70.3863,45.03,6.58,12.05,9.79,0.187,0
Balochistan,30.7181,61.7153,34.19,35.77,42.96,11.69,0.529,0
Punjab,28.3899,72.0079,43.43,13.07,38.73,3.01,0.133,0
Balochistan,27.1186,67.2367,32.7,7.02,43.86,22.09,0.749,0
Balochistan,27.5614,65.122,35.81,39.87,41.21,11.58,0.536,0
Balochistan,29.5576,65.6407,27.01,35.71,17.83,3.24,0.722,0
Punjab,28.2125,71.6453,45.49,30.73,18.41,6.32,0.104,1
Punjab,30.9753,70.4052,29.84,28.91,10.82,21.28,0.447,0
Balochistan,31.4391,65.5706,39.57,24.03,39.99,18.35,0.465,0
Punjab,33.1035,74.3365,40.58,34.3,33.81,17.0,0.533,0
Sindh,27.4082,70.8066,35.24,35.77,8.19,20.5,0.26,0
KPK,35.0898,73.1607,36.16,5.22,18.62,15.42,0.787,0
Sindh,24.8835,66.0454,43.01,9.5,18.48,0.46,0.403,0
Punjab,31.7957,74.6601,27.26,37.8,33.45,1.7,0.311,0
KPK,34.5429,71.3679,26.27,7.61,39.54,24.75,0.573,0
Sindh,23.6504,69.7913,25.54,5.77,19.97,12.22,0.639,0
KPK,31.7947,71.3427,45.77,8.58,39.61,13.18,0.678,0
Punjab,28.4943,73.4025,39.4,14.56,43.18,3.78,0.403,0
Punjab,33.1442,74.8226,41.72,20.48,19.54,8.02,0.607,1
Sindh,23.1557,69.2583,33.11,35.25,25.51,24.2,0.23,0
Balochistan,26.9219,64.6295,36.67,5.63,37.48,7.35,0.738,0
Punjab,32.7792,72.4076,27.58,9.38,33.37,10.76,0.24,0
Sindh,26.2576,67.6296,37.99,20.16,44.42,3.74,0.425,0
KPK,33.3997,72.0001,31.42,29.32,39.82,19.5,0.128,0
Punjab,28.8755,70.514,37.56,5.64,25.85,5.26,0.342,0
KPK,32.6323,71.5886,26.93,17.27,9.23,1.96,0.378,0
Sindh,24.0043,69.466,43.07,6.44,32.8,23.79,0.187,0
Balochistan,31.6173,61.4158,36.91,29.82,40.23,17.85,0.661,0
Sindh,25.422,69.3041,37.17,25.91,37.0,12.02,0.129,0
KPK,31.4081,69.3018,30.44,10.58,40.26,5.48,0.783,0
Punjab,33.231,72.1683,25.96,10.66,8.77,16.33,0.333,0
Sindh,26.2516,66.9977,39.97,7.53,9.13,6.44,0.424,0
Sindh,25.0795,70.2312,38.83,30.74,36.41,12.62,0.48,0
Balochistan,28.6317,66.8021,35.71,35.57,41.33,10.54,0.294,0
KPK,32.7958,70.9192,35.25,34.26,16.72,19.4,0.384,0
KPK,32.1877,73.857,28.98,34.9,26.21,6.18,0.71,0
Punjab,31.4765,73.3131,27.1,27.82,19.55,9.98,0.701,1
Balochistan,30.6408,62.047,46.34,20.88,16.73,1.84,0.219,1
KPK,34.347,69.7288,34.89,25.58,43.1,6.31,0.351,0
Sindh,26.682,69.319,35.44,34.55,37.81,14.63,0.708,0
Balochistan,26.2051,68.8935,27.71,13.09,9.91,16.0,0.257,0
Sindh,24.5808,68.5362,25.91,10.19,44.51,24.13,0.103,0
KPK,35.8655,71.9006,30.59,23.26,20.68,13.31,0.188,0
Punjab,32.2281,71.0093,39.82,38.95,11.47,16.82,0.411,0
KPK,32.2765,72.3082,46.53,18.1,8.65,6.1,0.682,1
Balochistan,26.1823,68.4476,40.17,28.68,15.98,16.47,0.376,0
KPK,32.7429,69.7964,38.31,16.13,40.06,24.83,0.627,0
Sindh,26.6922,70.3926,33.89,16.45,32.7,20.2,0.634,0
Sindh,27.3445,67.8784,31.53,27.72,20.15,15.76,0.527,0
Sindh,24.9428,68.2435,30.23,18.06,16.41,1.83,0.522,0
KPK,34.7967,71.5022,36.93,38.3,39.35,22.86,0.67,0
Balochistan,28.3929,65.6414,36.74,26.28,36.3,20.32,0.603,0
Balochistan,30.9344,64.4469,44.73,7.49,43.32,16.37,0.366,0
Balochistan,28.1097,61.8114,35.69,13.99,18.54,7.68,0.662,0
Punjab,28.5378,73.5882,33.8,39.19,38.46,13.06,0.186,0
Sindh,25.6258,69.5452,27.35,24.86,17.49,24.07,0.438,0
Balochistan,28.2411,65.212,27.47,5.09,31.61,12.88,0.515,0
Sindh,26.0549,68.0551,43.48,36.5,21.08,5.92,0.646,1
Sindh,27.2559,69.3571,42.81,31.83,13.54,10.6,0.207,0
Punjab,33.1768,71.0837,27.11,5.83,31.75,15.18,0.483,0
KPK,34.1601,69.2923,28.12,14.61,30.09,16.9,0.41,0
Balochistan,30.1546,68.93,27.82,8.64,34.8,14.46,0.292,0
Punjab,31.8717,72.9788,33.83,17.84,20.71,15.43,0.41,0
Punjab,32.8021,71.1686,36.88,35.8,32.08,13.32,0.327,0
KPK,31.2617,70.8924,32.98,39.84,24.52,8.34,0.506,0
Balochistan,27.0518,66.52,29.42,23.75,11.58,11.26,0.629,0
Punjab,33.8874,72.3744,33.42,9.19,44.04,0.5,0.616,0
Balochistan,31.0522,65.1677,38.72,8.12,35.95,3.19,0.678,0
KPK,31.3155,69.5882,30.0,16.96,22.09,8.66,0.267,0
Sindh,24.9849,68.236,38.21,23.05,42.02,12.42,0.795,0
KPK,33.5058,70.9859,36.87,26.98,32.95,13.31,0.605,0
Sindh,24.5234,66.4046,33.87,11.07,33.71,8.65,0.783,0
Balochistan,29.451,64.8348,31.9,26.22,13.15,22.46,0.681,0
Sindh,24.9933,66.7319,33.09,7.39,8.96,3.38,0.774,0
Punjab,28.7322,72.9715,45.6,35.66,18.28,21.29,0.1,1
KPK,34.251,69.7601,26.35,32.33,25.01,1.45,0.796,0
Punjab,29.7841,72.1517,28.75,7.61,36.96,6.63,0.224,0
Balochistan,29.0565,68.9736,42.91,26.53,19.33,15.6,0.469,0
Sindh,26.9605,68.024,39.39,17.4,27.44,12.04,0.224,0
Balochistan,26.0662,64.3292,35.59,5.67,17.61,19.01,0.196,0
Balochistan,27.941,67.6744,38.84,11.96,10.39,1.07,0.36,0
Sindh,25.2719,70.2218,27.16,22.09,13.55,8.12,0.616,0
Balochistan,29.6845,67.8765,33.63,38.47,12.93,2.55,0.561,0
KPK,33.188,70.2734,43.5,6.34,41.37,11.54,0.546,0
Sindh,25.2506,67.1348,44.57,20.77,40.65,2.64,0.792,0
Punjab,28.25,70.424,40.76,7.52,10.64,0.3,0.77,0
KPK,33.3097,73.9579,46.36,37.98,37.0,8.87,0.388,0
KPK,34.8219,70.3252,25.46,7.88,43.81,7.39,0.638,0
KPK,34.3368,69.0521,30.62,14.12,10.56,24.0,0.435,0
KPK,34.9936,70.4641,46.56,26.07,29.55,18.7,0.668,0
Sindh,23.2187,66.554,38.17,8.33,21.91,13.75,0.372,0
Punjab,29.4442,70.6075,29.34,36.04,31.9,7.15,0.671,0
Balochistan,27.5506,65.3521,38.99,12.74,44.2,18.7,0.49,0
Punjab,29.0646,72.7251,46.66,37.81,9.6,4.12,0.192,1
Sindh,27.8256,68.442,28.31,16.98,23.3,18.95,0.62,0
KPK,33.8251,72.4444,44.21,27.27,36.16,4.0,0.423,1
Balochistan,30.4503,68.0516,31.11,11.79,40.55,16.44,0.318,0
KPK,34.0799,69.9401,32.82,32.43,28.51,0.13,0.633,1
Balochistan,26.0662,66.9964,41.69,28.74,35.98,21.05,0.429,0
KPK,32.8415,71.2431,40.89,36.02,29.94,9.79,0.389,0
Balochistan,26.1744,62.3351,28.99,18.57,22.89,21.86,0.457,0
Balochistan,29.4799,65.4919,37.33,26.12,33.03,20.12,0.289,0
Balochistan,29.8189,62.192,40.3,31.11,44.33,5.25,0.678,0
Balochistan,26.8847,63.6255,34.55,8.1,16.16,14.96,0.615,0
Punjab,29.7967,70.8674,39.03,22.37,14.6,17.15,0.794,0
Sindh,25.8594,68.9388,29.06,17.68,20.38,0.65,0.117,0
Balochistan,30.186,68.4369,42.22,6.96,39.55,5.64,0.364,0
Punjab,32.8159,72.2909,35.63,9.67,10.98,18.2,0.448,0
Balochistan,26.0422,61.4582,29.95,9.6,22.76,23.07,0.43,1
Punjab,28.3423,71.4109,30.76,13.64,41.53,6.24,0.29,0
KPK,35.2239,70.3407,28.44,34.86,9.72,15.49,0.493,0
KPK,33.0555,70.7367,44.8,5.76,32.56,24.08,0.492,0
KPK,35.1393,72.9386,38.74,22.31,44.24,3.62,0.608,0
Balochistan,28.7836,68.776,38.39,17.23,12.22,3.78,0.258,0
Sindh,26.4188,68.7255,46.57,12.96,22.95,13.56,0.654,0
KPK,31.4086,71.2915,35.66,10.8,42.99,21.25,0.568,0
Punjab,30.761,73.7464,31.39,32.54,12.14,8.9,0.785,0
Balochistan,27.2082,63.069,28.62,16.56,36.0,12.98,0.243,0
KPK,31.8081,70.2775,45.83,24.61,35.78,13.95,0.487,0
Sindh,27.5461,68.6935,35.95,8.69,32.3,20.55,0.366,0
Sindh,23.978,66.9336,27.07,17.48,36.03,6.91,0.319,0
Sindh,27.5755,68.6651,28.48,29.36,37.35,7.92,0.7,0
KPK,31.8443,71.5353,38.16,6.17,21.46,18.32,0.674,0
KPK,34.0765,69.4173,44.41,33.13,26.69,24.18,0.392,0
Balochistan,30.3511,63.5841,46.94,39.29,32.28,3.25,0.581,0
Punjab,32.3161,74.4513,26.75,30.6,14.93,21.45,0.673,0
Sindh,26.7979,70.9403,44.83,27.81,19.62,6.36,0.673,1
KPK,31.8688,72.5601,43.17,8.52,16.88,3.55,0.344,0
KPK,34.0689,71.1775,37.7,30.83,37.83,21.09,0.278,1
Balochistan,30.0571,63.6008,40.1,7.44,14.47,21.39,0.259,0
Sindh,23.3854,67.7019,44.06,12.54,21.33,1.71,0.634,0
Punjab,33.6298,74.356,41.85,32.6,32.6,6.51,0.735,0
Sindh,23.8454,67.9488,33.35,12.94,22.12,3.22,0.389,0
Sindh,25.1127,66.2101,41.28,37.13,18.36,21.46,0.305,0
KPK,34.4966,73.1973,46.6,26.75,28.69,15.71,0.473,0
Punjab,28.6755,73.5184,36.9,8.38,16.95,0.31,0.428,0
Sindh,23.3712,67.1318,41.07,25.96,10.39,21.93,0.714,0
KPK,35.4615,69.9267,26.74,13.38,37.4,0.87,0.508,0
KPK,33.8667,72.2941,30.55,12.71,26.07,18.44,0.468,1
Sindh,27.1464,70.3949,37.58,23.11,23.93,7.92,0.404,1
Balochistan,28.0449,62.3186,28.75,38.18,24.47,19.72,0.548,0
Punjab,28.6253,71.9226,35.73,27.83,43.17,15.02,0.621,0
Sindh,25.0349,70.4574,25.06,6.39,30.35,22.68,0.267,0
Balochistan,27.9881,64.8563,29.31,26.38,18.39,5.17,0.462,1
KPK,31.2475,73.1666,43.57,14.97,25.13,10.96,0.253,0
KPK,35.6588,70.9851,26.92,26.6,12.21,8.63,0.455,0
Balochistan,30.0525,61.3588,34.91,37.53,14.11,9.75,0.611,0
Balochistan,30.2842,65.8632,31.81,33.83,43.34,20.53,0.101,0
Sindh,26.5879,70.1479,25.89,35.51,17.5,16.63,0.66,0
Balochistan,26.7262,64.3516,41.53,7.49,10.97,8.87,0.759,0
Balochistan,29.8787,68.1043,38.17,22.58,13.14,2.89,0.208,1
KPK,31.6028,73.5123,26.46,23.69,13.26,0.29,0.395,0
Balochistan,26.5064,64.1949,45.02,33.28,15.99,11.67,0.672,0
Balochistan,30.155,64.4394,39.81,14.64,19.33,19.72,0.412,0
Sindh,25.2506,68.8963,41.71,8.46,40.92,0.31,0.359,1
Punjab,32.1304,71.8728,28.67,20.07,13.28,22.25,0.342,0
Balochistan,29.1034,64.0313,25.15,18.51,37.29,14.9,0.171,0
Punjab,30.1876,71.0895,46.74,20.89,33.47,3.51,0.44,1
Sindh,25.6596,66.6789,27.18,12.31,42.25,10.35,0.377,0
Balochistan,28.7511,63.314,44.8,9.06,43.37,7.85,0.722,0
Punjab,31.2723,70.441,38.35,10.31,9.14,24.27,0.641,0
Balochistan,29.3223,65.3336,41.76,34.18,24.3,7.56,0.282,1
Balochistan,29.0447,66.4191,30.17,34.07,28.16,4.13,0.508,0
Balochistan,29.7574,64.9112,33.84,39.78,40.57,15.59,0.499,0
Balochistan,30.3849,62.1839,43.76,29.88,41.56,3.31,0.515,0
KPK,33.6669,73.3498,27.87,32.67,12.62,19.86,0.293,0
Punjab,33.8176,74.7456,36.28,8.28,35.92,12.3,0.312,0
Sindh,24.0161,69.809,33.5,22.89,26.22,14.43,0.706,0
KPK,33.2173,72.0106,38.01,33.23,25.63,24.9,0.142,1
Balochistan,31.0818,68.1447,26.37,35.92,24.59,12.76,0.539,0
Punjab,32.5756,74.6463,25.67,35.52,27.51,15.81,0.551,0
Balochistan,27.6726,62.6856,46.06,5.31,44.92,16.92,0.68,0
Sindh,23.2208,67.7089,38.92,7.42,8.21,23.43,0.675,0
Balochistan,31.0755,65.9088,26.95,22.07,10.87,10.19,0.385,0
Sindh,25.7457,69.1604,37.69,29.42,8.23,2.52,0.708,1
Balochistan,29.0037,67.3561,40.56,6.76,10.7,10.07,0.307,0
Sindh,25.0065,67.4626,28.35,14.32,8.81,14.58,0.69,0
KPK,35.8949,72.0175,32.87,27.67,12.55,22.22,0.452,0
KPK,35.1072,71.7733,39.02,23.42,25.14,5.87,0.312,0
KPK,33.6008,69.7144,42.06,14.5,26.38,7.11,0.194,0
Sindh,24.3577,68.0122,27.26,11.62,36.97,17.88,0.515,0
Punjab,33.036,70.0191,30.43,30.93,19.7,2.55,0.352,0
Sindh,27.3327,68.859,44.96,38.0,23.63,9.43,0.755,1
Balochistan,30.1221,64.9505,33.53,27.14,34.04,0.11,0.217,0
Balochistan,27.0968,63.2275,27.85,28.66,42.93,6.72,0.433,0
Balochistan,26.2891,63.8804,46.05,22.51,24.01,11.44,0.246,0
Punjab,28.0173,74.2948,29.09,24.32,23.38,17.99,0.36,0
KPK,35.4008,70.0787,39.91,26.27,18.93,3.42,0.556,1
Punjab,33.8476,70.261,40.01,21.39,29.43,2.13,0.13,0
Balochistan,26.6691,65.1269,30.89,34.24,8.54,9.48,0.336,1
Punjab,33.6931,70.1571,41.2,16.56,41.52,6.67,0.607,0
KPK,33.5952,72.3877,31.86,32.09,36.6,13.03,0.783,0
Balochistan,26.4583,64.0606,33.09,11.36,24.11,8.3,0.339,0
Sindh,24.7405,67.8587,25.03,15.49,31.92,24.35,0.693,1
Sindh,27.1488,69.0307,31.41,12.25,13.64,22.49,0.597,0
KPK,33.4204,72.7372,35.42,7.02,43.44,23.57,0.65,0
KPK,34.223,71.8065,42.09,12.17,34.85,15.49,0.727,0
Sindh,25.8915,66.7348,42.84,27.26,22.36,16.85,0.282,0
Punjab,30.024,73.6249,36.85,7.12,33.53,17.25,0.751,0
Balochistan,28.686,62.0742,46.07,23.54,16.95,12.52,0.576,0
KPK,35.6433,72.8043,37.03,11.31,24.97,14.02,0.705,0
Balochistan,26.2999,67.7492,46.59,32.76,39.59,6.05,0.772,0
Sindh,25.4912,68.0334,45.97,23.29,16.11,11.47,0.744,0
KPK,34.1117,73.9059,29.18,32.74,41.59,23.59,0.772,0
KPK,35.8353,70.964,43.79,32.06,19.47,5.8,0.421,1
Punjab,31.3905,73.8581,35.98,5.42,8.33,8.93,0.748,0
Sindh,23.2303,70.0404,28.91,23.01,37.91,6.35,0.272,0
Punjab,31.9746,70.5925,31.36,18.92,42.02,24.83,0.131,0
Balochistan,29.8127,61.7258,25.72,7.02,24.44,6.89,0.535,0
Balochistan,29.3844,63.8686,39.45,13.41,15.09,22.96,0.171,0
Sindh,26.7589,67.1435,46.04,10.19,33.14,5.62,0.402,0
Punjab,31.4805,72.5835,41.69,14.89,21.06,22.35,0.763,0
Balochistan,30.5787,67.5853,44.56,24.06,15.57,6.38,0.307,1
KPK,32.0354,69.3558,26.52,37.93,26.76,10.24,0.668,0
Balochistan,30.3605,67.1912,32.76,33.87,27.08,11.58,0.132,0
Balochistan,26.2254,62.0229,41.84,5.0,23.41,13.06,0.138,0
Sindh,24.0179,66.0505,34.62,35.9,9.92,4.78,0.317,0
Punjab,32.4514,74.2421,34.3,15.6,20.04,17.82,0.672,0
KPK,32.6848,73.9977,33.93,12.72,36.21,13.56,0.205,0
Sindh,25.7225,69.5466,28.68,32.32,29.6,23.81,0.13,0
Punjab,33.6953,73.1608,27.86,24.6,36.89,17.71,0.22,0
Sindh,27.1375,69.486,40.72,21.16,42.08,17.36,0.61,0
Balochistan,26.1851,61.4152,28.13,12.47,32.61,3.93,0.183,0
Punjab,31.3724,74.7355,35.92,18.32,14.03,19.66,0.614,0
Sindh,26.9109,66.6219,42.55,26.56,39.2,2.44,0.491,0
KPK,33.7322,73.8352,26.14,22.67,34.58,21.57,0.225,0
Sindh,27.7623,67.1336,44.35,33.31,33.05,15.63,0.322,0
Balochistan,30.7801,63.0037,38.75,25.01,38.81,22.65,0.109,0
Punjab,29.1215,70.099,33.6,11.7,23.23,23.37,0.401,0
Balochistan,26.4101,67.2701,31.29,20.15,33.36,8.31,0.14,0
Punjab,33.8923,73.9243,41.14,9.07,36.9,19.63,0.521,0
Punjab,29.6579,72.1601,46.57,7.36,27.19,4.48,0.779,0
KPK,33.7775,69.9491,37.81,12.16,27.23,1.85,0.524,0
Sindh,24.3427,67.4373,39.45,38.9,30.33,1.92,0.153,0
Sindh,25.1519,69.479,35.08,8.22,28.48,16.04,0.593,0
Sindh,26.3801,69.5331,38.42,15.95,18.03,14.94,0.706,0
KPK,33.2454,72.0613,29.69,37.87,8.25,19.31,0.538,0
Balochistan,28.4489,61.1232,37.82,13.86,24.66,23.94,0.379,0
KPK,34.697,70.0733,39.63,22.43,35.48,8.18,0.723,0
Balochistan,28.6041,63.0697,34.56,30.32,8.34,14.74,0.529,0
KPK,34.5043,70.0201,39.39,33.64,9.85,22.79,0.121,0
KPK,32.354,70.2378,26.38,21.06,35.11,15.17,0.571,0
Punjab,29.9982,74.4248,33.43,22.27,18.48,19.67,0.378,0
Sindh,26.6896,68.6072,26.51,17.99,42.07,14.61,0.477,0
Punjab,33.4915,74.2991,25.77,32.56,23.22,21.84,0.547,0
Punjab,30.6553,73.2466,45.6,7.24,38.52,7.31,0.411,1
Punjab,31.5414,72.0382,35.33,5.99,15.77,7.03,0.599,1
Balochistan,27.5614,62.2759,28.53,7.47,14.87,16.61,0.717,0
Punjab,30.6772,74.0292,25.18,37.36,24.4,13.83,0.278,0
KPK,35.1428,72.9465,31.77,36.98,43.25,8.17,0.348,0
Sindh,24.1589,67.593,44.88,7.72,38.67,8.72,0.465,0
